,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Order_Hour,Order_Min,Picked_Hour,Picked_Min
0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,21,55,22,10
1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,14,55,15,05
2,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,17,30,17,40
3,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,09,20,09,30
4,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19,50,20,05
5,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20,25,20,35
6,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,14,55,15,10
7,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,20,30,20,40
8,34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,20,40,20,50
9,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,21,15,21,30
10,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,20,20,20,25
11,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,22,30,22,45
12,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,08,15,08,30
13,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,19,30,19,45
14,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,12,25,12,30
15,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,18,35,18,50
16,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,20,35,20,40
17,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,23,20,23,30
18,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,21,20,21,35
19,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,23,35,23,45
20,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,22,35,22,50
21,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,22,35,22,40
22,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,23,25,23,35
23,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,13,35,13,40
24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,21,35,21,45
25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,22,35,22,45
26,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,18,55,19,10
27,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,14,15,14,25
28,20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,0.458333333,,11,10
29,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,09,45,09,55
30,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,08,40,08,55
31,22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,0.958333333,,23,10
32,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,17,25,17,30
33,,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,,,18,35
34,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,19,45,19,50
35,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,19,10,19,25
36,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,10,55,0.458333333,
37,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,21,40,21,45
38,27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,0.791666667,,19,15
39,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,16,45,16,55
40,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,11,30,11,40
41,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,15,10,15,15
42,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,22,45,22,55
43,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,22,10,22,25
44,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20,45,20,55
45,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,22,50,23,05
46,24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,17,55,0.75,
47,39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,22,45,0.958333333,
